Grade;Zx;Zy;Strain;Stress;Area
B30;-0.25;-0.2;0.0;0.0;0.0
B30;-0.25;-0.15;0.0;-17.0;0.0
B30;-0.25;-0.1;0.0;-17.0;0.0
B30;-0.25;-0.05;0.0;-17.0;0.0
B30;-0.25;0.0;0.0;-17.0;0.0
B30;-0.25;0.05;0.0;-16.960888010734678;0.0
B30;-0.25;0.1;0.0;-15.595103064968148;0.0
B30;-0.25;0.15;0.0;-14.229318119201622;0.0
B30;-0.25;0.2;0.0;-12.863533173435094;0.0
B30;0.25;-0.2;0.0;0.0;0.0
B30;0.25;-0.15;0.0;0.0;0.0
B30;0.25;-0.1;0.0;0.0;0.0
B30;0.25;-0.05;0.0;0.0;0.0
B30;0.25;0.0;0.0;0.0;0.0
B30;0.25;0.05;0.0;0.0;0.0
B30;0.25;0.1;0.0;0.0;0.0
B30;0.25;0.15;0.0;0.0;0.0
B30;0.25;0.2;0.0;0.0;0.0
B30;-0.2;-0.2;0.0;-17.0;0.0
B30;-0.15;-0.2;0.0;-17.0;0.0
B30;-0.1;-0.2;0.0;-17.0;0.0
B30;-0.05;-0.2;0.0;-17.0;0.0
B30;0.0;-0.2;0.0;-15.434214180916657;0.0
B30;0.05;-0.2;0.0;-13.763094469186527;0.0
B30;0.1;-0.2;0.0;-12.091974757456395;0.0
B30;0.15;-0.2;0.0;-10.420855045726263;0.0
B30;0.2;-0.2;0.0;0.0;0.0
B30;-0.2;0.2;0.0;-11.192413461704962;0.0
B30;-0.15;0.2;0.0;-4.7304206036896375;0.0
B30;-0.1;0.2;0.0;0.0;0.0
B30;-0.05;0.2;0.0;0.0;0.0
B30;0.0;0.2;0.0;0.0;0.0
B30;0.05;0.2;0.0;0.0;0.0
B30;0.1;0.2;0.0;0.0;0.0
B30;0.15;0.2;0.0;0.0;0.0
B30;0.2;0.2;0.0;0.0;0.0
B30;-0.225;-0.175;0.0;-17.0;0.0025
B30;-0.175;-0.175;0.0;-17.0;0.0025
B30;-0.125;-0.175;0.0;-17.0;0.0025
B30;-0.075;-0.175;0.0;-17.0;0.0025
B30;-0.025;-0.175;0.0;-15.586881563898459;0.0025
B30;0.025;-0.175;0.0;-13.915761852168329;0.0025
B30;0.075;-0.175;0.0;-12.244642140438197;0.0025
