Program =RC_frame.v1.0= designed by G. Berezin in 2020
L/C 4
1_st analysis:
Solution: ok
Results after 5 iterations:
    Grade     Zx     Zy Strain      Stress      Area
112   B30  0.075  0.175    0.0         0.0    0.0025
113   B30  0.125  0.175    0.0         0.0    0.0025
114   B30  0.175  0.175    0.0         0.0    0.0025
115   B30  0.225  0.175    0.0         0.0    0.0025
116  A500   0.21  -0.16    0.0   79.914965  0.000616
117  A500   0.21    0.0    0.0  296.660729  0.000154
118  A500   0.21   0.16    0.0       435.0  0.000616
119  A500    0.0  -0.16    0.0 -268.161911  0.000154
120  A500    0.0   0.16    0.0  165.329618  0.000154
121  A500  -0.21  -0.16    0.0      -400.0  0.000616
122  A500  -0.21    0.0    0.0 -399.493022  0.000154
123  A500  -0.21   0.16    0.0 -182.747258  0.000616
Convergence L/C 4 did not reached!!!
     Given     Found         u
Mx   352.0   328.805  0.008288
My   154.0   137.835  0.006773
N  -1650.0 -1535.036 -0.000257
Job time: 0.0324 seconds
